Reporte de Cambios - 20250905_131733
--------------------------------------------------
Productos Nuevos:
SKU: SKU002770, Nombre: Pants 3pz Deportivo Ignacio Ramirez Lopez Talla 6, Inventario: 0, Precio: 575.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-26 11:49:36
SKU: SKU002801, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Ignacio Zaragoza, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002802, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002803, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: José María Morelos, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002805, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Justo Sierra, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002806, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002808, Nombre: Chamarra Deportiva Talla 6, Inventario: 0, Precio: 325.0, Escuela: Niños Héroes, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002811, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Benito Juárez, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002812, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Club Rotario, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002814, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Francisco Villa, Última Modificación: 2025-05-26 12:11:33
SKU: SKU002816, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002818, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Ignacio Zaragoza, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002819, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002820, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: José María Morelos, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002822, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Justo Sierra, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002823, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002825, Nombre: Chamarra Deportiva Talla 8, Inventario: 0, Precio: 325.0, Escuela: Niños Héroes, Última Modificación: 2025-05-26 12:11:34
SKU: SKU002827, Nombre: Camisa Manga Larga H Blanca Talla 2, Inventario: 1, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 13:26:48
SKU: SKU002828, Nombre: Camisa Manga Larga H Blanca Talla 4, Inventario: 25, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 13:26:48
SKU: SKU002829, Nombre: Camisa Manga Larga H Blanca Talla 8, Inventario: 82, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 13:26:48
SKU: SKU002830, Nombre: Camisa Manga Larga H Blanca Talla 6, Inventario: 41, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 13:27:36
SKU: SKU002831, Nombre: Camisa Manga Larga H Blanca Talla 10, Inventario: 12, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002832, Nombre: Camisa Manga Larga H Blanca Talla 12, Inventario: 15, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002833, Nombre: Camisa Manga Larga H Blanca Talla 14, Inventario: 18, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002834, Nombre: Camisa Manga Larga H Blanca Talla 16, Inventario: 25, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002835, Nombre: Camisa Manga Larga H Blanca Talla 32, Inventario: 9, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002836, Nombre: Camisa Manga Larga H Blanca Talla 34, Inventario: 14, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002837, Nombre: Camisa Manga Larga H Blanca Talla 36, Inventario: 14, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002838, Nombre: Camisa Manga Larga H Blanca Talla 38, Inventario: 9, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002839, Nombre: Camisa Manga Larga H Blanca Talla 40, Inventario: 1, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002840, Nombre: Camisa Manga Larga H Blanca Talla 42, Inventario: 1, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002841, Nombre: Camisa Manga Larga H Blanca Talla 44, Inventario: 0, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002842, Nombre: Camisa Manga Larga H Blanca Talla CH, Inventario: 15, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002843, Nombre: Camisa Manga Larga H Blanca Talla MD, Inventario: 13, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002844, Nombre: Camisa Manga Larga H Blanca Talla GD, Inventario: 19, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002845, Nombre: Camisa Manga Larga H Blanca Talla EXG, Inventario: 17, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:18:12
SKU: SKU002846, Nombre: Camisa Manga Larga H Blanca Talla 18, Inventario: 8, Precio: 199.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:19:06
SKU: SKU002847, Nombre: Camisa Manga Larga M Blanca Talla 30, Inventario: 5, Precio: 279.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:44:07
SKU: SKU002848, Nombre: Camisa Manga Larga M Blanca Talla CH, Inventario: 9, Precio: 279.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:44:07
SKU: SKU002849, Nombre: Camisa Manga Larga M Blanca Talla MD, Inventario: 11, Precio: 279.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:44:07
SKU: SKU002850, Nombre: Camisa Manga Larga M Blanca Talla GD, Inventario: 9, Precio: 279.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:44:07
SKU: SKU002851, Nombre: Camisa Manga Larga M Blanca Talla EXG, Inventario: 5, Precio: 279.0, Escuela: Sin Escuela, Última Modificación: 2025-05-31 14:44:07
SKU: SKU002852, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Blanca Verónica Soto Martínez Príncipes, Última Modificación: 2025-05-31 15:42:13
SKU: SKU002853, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Frida Kahlo, Última Modificación: 2025-05-31 15:42:13
SKU: SKU002854, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Jean Piaget, Última Modificación: 2025-05-31 15:42:13
SKU: SKU002855, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Jorge Cantor, Última Modificación: 2025-05-31 15:42:13
SKU: SKU002856, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Patria, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002857, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Álvaro Obregón, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002858, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Blanca Verónica Soto Martínez Príncipes, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002859, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Frida Kahlo, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002860, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Jean Piaget, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002861, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Jorge Cantor, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002862, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Patria, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002863, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Álvaro Obregón, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002864, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Blanca Verónica Soto Martínez Príncipes, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002865, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Frida Kahlo, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002866, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Jean Piaget, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002867, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Jorge Cantor, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002868, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Patria, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002869, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Álvaro Obregón, Última Modificación: 2025-05-31 15:42:14
SKU: SKU002870, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Albino García Ramos, Última Modificación: 2025-05-31 15:47:43
SKU: SKU002871, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Benito Juárez, Última Modificación: 2025-05-31 15:47:43
SKU: SKU002872, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Club Rotario, Última Modificación: 2025-05-31 15:47:43
SKU: SKU002873, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Emiliano Zapata, Última Modificación: 2025-05-31 15:47:43
SKU: SKU002874, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Francisco Villa, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002875, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Himno Nacional, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002876, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002877, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002878, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002879, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: José María Morelos, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002880, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: José María Morelos y Pavón, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002881, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Justo Sierra, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002882, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002883, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Miguel Hidalgo, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002884, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Niños Héroes, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002885, Nombre: Chamarra Deportiva Ad hoc Talla 4, Inventario: 0, Precio: 295.0, Escuela: Práxedis Guerrero, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002886, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Albino García Ramos, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002887, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Benito Juárez, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002888, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Club Rotario, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002889, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Emiliano Zapata, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002890, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Francisco Villa, Última Modificación: 2025-05-31 15:47:44
SKU: SKU002891, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Himno Nacional, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002892, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002893, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002894, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002895, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: José María Morelos, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002896, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: José María Morelos y Pavón, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002897, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Justo Sierra, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002898, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002899, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Miguel Hidalgo, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002900, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Niños Héroes, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002901, Nombre: Chamarra Deportiva Ad hoc Talla 6, Inventario: 0, Precio: 295.0, Escuela: Práxedis Guerrero, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002902, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Albino García Ramos, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002903, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Benito Juárez, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002904, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Club Rotario, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002905, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Emiliano Zapata, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002906, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Francisco Villa, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002907, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Himno Nacional, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002908, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002909, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-31 15:47:45
SKU: SKU002910, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002911, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: José María Morelos, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002912, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: José María Morelos y Pavón, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002913, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Justo Sierra, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002914, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002915, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Miguel Hidalgo, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002916, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Niños Héroes, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002917, Nombre: Chamarra Deportiva Ad hoc Talla 8, Inventario: 0, Precio: 295.0, Escuela: Práxedis Guerrero, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002918, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Albino García Ramos, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002919, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Benito Juárez, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002920, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Club Rotario, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002921, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Emiliano Zapata, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002922, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Francisco Villa, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002923, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Himno Nacional, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002924, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002925, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002926, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002927, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: José María Morelos, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002928, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: José María Morelos y Pavón, Última Modificación: 2025-05-31 15:47:46
SKU: SKU002929, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Justo Sierra, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002930, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Miguel Campuzano, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002931, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Miguel Hidalgo, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002932, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Niños Héroes, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002933, Nombre: Chamarra Deportiva Ad hoc Talla 10, Inventario: 0, Precio: 295.0, Escuela: Práxedis Guerrero, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002934, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Albino García Ramos, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002935, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Benito Juárez, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002936, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Club Rotario, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002937, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Emiliano Zapata, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002938, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Francisco Villa, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002939, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Himno Nacional, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002940, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Ignacio Allende, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002941, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Ignacio Ramirez Lopez, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002942, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: J. Guadalupe Victoria, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002943, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: José María Morelos, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002944, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: José María Morelos y Pavón, Última Modificación: 2025-05-31 15:47:47
SKU: SKU002945, Nombre: Chamarra Deportiva Ad hoc Talla 12, Inventario: 0, Precio: 295.0, Escuela: Justo Sierra, Última Modificación: 2025-05-31 15:47:47
